seccion,manzana,parcela,partida,calle_nombre,calle_altura,vencimiento_certificado
29,50,10,371631.0,ARCOS,4661.0,2020-08-28
8,26,10,111216.0,AZARA,124.0,2020-08-28
27,13,019C,377942.0,VUELTA DE OBLIGADO,3013.0,2020-08-28
11,83,012B,441899.0,GUIDO,1841.0,2020-08-28
20,65,18,202539.0,"ALSINA, ADOLFO",1991.0,2020-08-28
49,121,29,239213.0,ALVAREZ THOMAS AV.,1570.0,2020-08-28
31,97,22,420403.0,CORDOBA AV.,4123.0,2020-08-28
15,121,28,445054.0,JUNCAL,2515.0,2020-08-28
42,90,20,137958.0,"MITRE, EMILIO",289.0,2020-08-28
20,4,29,202309.0,MISIONES,339.0,2020-08-28
7,20,016A,452341.0,JUNCAL,1675.0,2020-08-28
12,24,034A,217777.0,SAN JOSE,617.0,2020-08-28
8,28,21,118242.0,"GARCIA, MARTIN AV.",547.0,2020-08-28
59,59,40,242490.0,"TRELLES, MANUEL R. AV.",2564.0,2020-08-28
39,97,009A,325782.0,CIUDAD DE LA PAZ,2003.0,2020-08-28
3,6,24,451198.0,JUNCAL,1143.0,2020-08-28
51,110,23,343865.0,JURAMENTO,4137.0,2020-08-28
31,101,29,421134.0,"CABRERA, JOSE A.",4422.0,2020-08-28
37,118A,016D,416826.0,CRAMER AV.,1754.0,2020-08-28
48,87,33,143854.0,VARELA AV.,727.0,2020-08-28
39,75,14,325449.0,"SUCRE, ANTONIO JOSE de, Mcal.",2757.0,2020-08-28
75,020B,25,362660.0,NAZCA,4962.0,2020-08-28
36,19,7,154159.0,COCHABAMBA,4266.0,2020-08-28
1,23,37,220766.0,FLORIDA,674.0,2020-08-28
71,9,013A,309509.0,"BEIRO, FRANCISCO AV.",3137.0,2020-08-28
81,65,010B,311846.0,CHIVILCOY AV.,3239.0,2020-08-28
8,72,5,110054.0,"GARCIA, MARTIN AV.",388.0,2020-08-28
5,25,001A,222617.0,VIAMONTE,1502.0,2020-08-29
28,51,36,193505.0,MEXICO,2990.0,2020-08-29
49,142,028B,310282.0,14 DE JULIO,1546.0,2020-08-29
43,164A,18,334942.0,SAN ISIDRO LABRADOR AV.,4738.0,2020-08-29
29,105,22,341112.0,PICO,1637.0,2020-08-29
65,125,30,133924.0,BOYACA,658.0,2020-08-29
43,164A,17,334943.0,SAN ISIDRO LABRADOR AV.,4726.0,2020-08-29
47,179,016A,304155.0,CAMARGO,1253.0,2020-08-29
36,33,001X,161046.0,PAVON AV.,4111.0,2020-08-29
37,76,5,408701.0,"FREIRE, RAMON, CAP. GRAL.",1368.0,2020-08-29
15,103,7,443263.0,"MANSILLA, LUCIO NORBERTO, GENERAL",2959.0,2020-08-29
59,040A,011A,312011.0,SANCHEZ,1714.0,2020-08-29
51,99,6,345020.0,MONROE,4390.0,2020-08-29
43,164A,1,334941.0,SAN ISIDRO LABRADOR AV.,4744.0,2020-08-29
36,138,18,150018.0,COLOMBRES,90.0,2020-08-29
25,2,4,335442.0,CABILDO AV.,1999.0,2020-08-29
27,9,4,369692.0,AZURDUY JUANA,2354.0,2020-08-29
27,9,7,338458.0,CABILDO AV.,3471.0,2020-08-29
51,050A,38,350054.0,TRIUNVIRATO AV.,4132.0,2020-08-29
15,12,001A,444903.0,GUEMES,3302.0,2020-08-29
19,170,015C,427436.0,SANTA FE AV.,3960.0,2020-08-29
41,146,27,329405.0,CIUDAD DE LA PAZ,3052.0,2020-08-29
31,60,38,420175.0,JUFRE,62.0,2020-08-29
23,98,30,413372.0,"LACROZE, FEDERICO",1847.0,2020-08-29
81,120,26,267247.0,"VARELA, JOSE PEDRO",3561.0,2020-08-29
37,44,27,409276.0,DELGADO,1525.0,2020-08-29
23,118,3,412816.0,DEL LIBERTADOR AV.,4570.0,2020-08-29
45,40,7,178441.0,GAONA AV.,1138.0,2020-08-29
37,141,18,410059.0,AGUILAR,2579.0,2020-08-29
11,48,21,442281.0,JUNIN,1384.0,2020-08-29
40,56,009A,160372.0,SAN JOSE DE CALASANZ,172.0,2020-08-29
17,40,4,172094.0,"MITRE, BARTOLOME",4222.0,2020-08-29
33,30,011A,415548.0,"LACROZE, FEDERICO AV.",3956.0,2020-08-29
23,119,006A,412915.0,DEL LIBERTADOR AV.,4668.0,2020-08-29
5,27,020A,223611.0,URUGUAY,16.0,2020-08-29
40,113,005D,155877.0,VALLE,241.0,2020-08-29
14,73,14,211623.0,"IRIGOYEN, BERNARDO de",988.0,2020-08-29
37,139,25,409888.0,"GARCIA, TEODORO",2525.0,2020-08-29
36,19,4,154156.0,COCHABAMBA,4242.0,2020-08-29
19,109,6,428008.0,GUATEMALA,4858.0,2020-08-29
20,66,3,200259.0,RIVADAVIA AV.,1926.0,2020-08-29
42,73,8,138544.0,"GOYENA, PEDRO AV.",1362.0,2020-08-29
36,3,31,154603.0,MUÑIZ,1341.0,2020-08-29
36,44,35,161709.0,TREINTA Y TRES ORIENTALES,247.0,2020-08-29
79,038B,010C,261816.0,"JUSTO, JUAN B. AV.",6795.0,2020-08-29
7,4,22,452555.0,SANTA FE AV.,1717.0,2020-08-29
27,74,5,338283.0,CAMPOS SALLES,1756.0,2020-08-29
36,042A,20,160522.0,TREINTA Y TRES ORIENTALES,467.0,2020-08-29
19,16,20,427048.0,"CABRERA, JOSE A.",4877.0,2020-08-30
23,18,22,411221.0,3 DE FEBRERO,965.0,2020-08-30
7,54,024B,451766.0,DEL LIBERTADOR AV.,736.0,2020-08-30
79,115,30,258035.0,"JUSTO, JUAN B. AV.",6011.0,2020-08-30
35,113,29,403343.0,PARAGUAY,5205.0,2020-08-30
49,138,016P,309298.0,GIRIBONE,1435.0,2020-08-30
21,001A,006B,429175.0,VIDT,2197.0,2020-08-30
14,8,032C,213706.0,HUMBERTO 1°,1701.0,2020-08-30
89,49,20,302832.0,DESAGUADERO,4117.0,2020-08-30
15,126,018A,441648.0,"ANCHORENA, TOMAS MANUEL DE, DR.",1233.0,2020-08-30
15,2,12,444588.0,GORRITI,3684.0,2020-08-30
27,71,024A,366783.0,CONGRESO,1715.0,2020-08-30
5,55,22,221706.0,LAVALLE,1125.0,2020-08-30
29,70,12,339877.0,3 DE FEBRERO,4036.0,2020-08-30
61,106,16,299009.0,ANDONAEGUI,1441.0,2020-08-30
31,74,16,420998.0,JUFRE,253.0,2020-08-30
23,81,3,412503.0,ARCE,334.0,2020-08-30
51,83,9,344330.0,OLAZABAL AV.,4470.0,2020-08-30
36,29,10,153678.0,BELGRANO,4270.0,2020-08-30
5,3,2,223062.0,SARMIENTO,1712.0,2020-08-30
51,89,26,343957.0,JURAMENTO,4425.0,2020-08-30
63,006A,8,353036.0,CONGRESO AV.,5878.0,2020-08-30
36,105,3,151171.0,CONSTITUCION,3738.0,2020-08-30
40,119,006M,161381.0,DOBLAS,92.0,2020-08-30
39,87,020A,369078.0,AMENABAR,2450.0,2020-08-30
13,3,024D,195500.0,BULNES,217.0,2020-08-30
67,060A,028B,249795.0,"GARCIA, JUAN AGUSTIN",2703.0,2020-08-30
25,6,19,336155.0,OLAZABAL,2341.0,2020-08-30
45,88,29,175403.0,"AMBROSETTI, JUAN B.",938.0,2020-08-30
39,84,022E,375474.0,AMENABAR,2114.0,2020-08-30
28,23,009A,194441.0,"YRIGOYEN, HIPOLITO AV.",3372.0,2020-08-30
40,19,41,159740.0,CACHIMAYO,331.0,2020-08-30
54,136,5,3636.0,RIVADAVIA AV.,8456.0,2020-08-30
27,56,11,338919.0,GRECIA,3561.0,2020-08-30
36,17,012A,161476.0,MUÑIZ,1448.0,2020-08-30
51,37,002A,351745.0,MONROE,5322.0,2020-08-30
19,130,5,426163.0,"MANSILLA, LUCIO NORBERTO, GENERAL",4052.0,2020-08-30
73,38,020A,369250.0,TERRADA,4609.0,2020-08-30
23,37,18,411806.0,ARCOS,1320.0,2020-08-30
47,29,8,229148.0,"PUEYRREDON, HONORIO, DR. AV.",1496.0,2020-08-30
43,136,10,334539.0,CONESA,4695.0,2020-08-30
36,106,2,151139.0,COCHABAMBA,3712.0,2020-08-31
23,101,006A,415825.0,DEL LIBERTADOR AV.,5484.0,2020-08-31
23,10,008A,415968.0,MAURE,2362.0,2020-08-31
27,7,017A,377449.0,VUELTA DE OBLIGADO,3128.0,2020-08-31
51,96,6,343909.0,MENDOZA,4366.0,2020-08-31
15,94,004A,445705.0,LAS HERAS GENERAL AV.,2564.0,2020-08-31
30,6,41,185380.0,MAZA,1253.0,2020-08-31
36,46,011L,161690.0,"MARMOL, JOSE",46.0,2020-08-31
75,87,008F,368746.0,"ARTIGAS, JOSE GERVASIO, GRAL.",5491.0,2020-08-31
35,107,1,405379.0,CABILDO AV.,202.0,2020-08-31
27,71,7,337484.0,QUESADA,1764.0,2020-08-31
43,74,13,333726.0,CONDE,4437.0,2020-08-31
17,80,002A,179423.0,CORRIENTES AV.,4028.0,2020-08-31
19,138,13,426948.0,ARMENIA,2271.0,2020-08-31
29,100,16,340334.0,RUIZ HUIDOBRO,1687.0,2020-08-31
31,110,27,422800.0,GURRUCHAGA,1370.0,2020-08-31
37,108,29,407436.0,"GARCIA, TEODORO",2841.0,2020-08-31
48,36,025A,145231.0,"ALBERDI, JUAN BAUTISTA AV.",2941.0,2020-08-31
51,9,12,351886.0,MONROE,5776.0,2020-08-31
53,101,20,345587.0,ROOSEVELT FRANKLIN D.,4139.0,2020-08-31
49,155,026A,313649.0,FOREST AV.,1554.0,2020-08-31
9,49,43,206329.0,"URIBURU JOSE E., Pres.",782.0,2020-08-31
29,100,004A,370506.0,CORREA,1632.0,2020-08-31
45,71,25,175515.0,NEUQUEN,547.0,2020-08-31
9,44,23,206106.0,"PERON, JUAN DOMINGO, TTE. GENERAL",2273.0,2020-08-31
39,60,12,325123.0,CRAMER AV.,1850.0,2020-08-31
2,46,7,215266.0,CHILE AV.,344.0,2020-08-31
63,120,19,348328.0,TRIUNVIRATO AV.,5525.0,2020-08-31
1,21,16,220689.0,MAIPU,443.0,2020-08-31
11,56,004E,448255.0,ARENALES,2063.0,2020-09-01
93,145A,15,291895.0,"CANTILO, JOSE LUIS",5606.0,2020-09-01
67,076A,29,248551.0,TRES ARROYOS,2531.0,2020-09-01
81,144,4,266994.0,"BEIRO, FRANCISCO AV.",3420.0,2020-09-01
37,108,025D,407442.0,"GARCIA, TEODORO",2895.0,2020-09-01
25,41,4,336034.0,OLAZABAL,1852.0,2020-09-01
15,118,9,443102.0,ARENALES,2774.0,2020-09-01
36,38,48,153403.0,TREINTA Y TRES ORIENTALES,853.0,2020-09-01
37,047A,41,409654.0,"PINO, Virrey del",3541.0,2020-09-01
73,6,5,361450.0,MOSCONI GENERAL AV.,3132.0,2020-09-01
73,30,31,361376.0,TERRADA,4646.0,2020-09-01
51,51,042A,370616.0,ECHEVERRIA,5009.0,2020-09-01
48,154B,23,140681.0,"RICCIO, GUSTAVO",143.0,2020-09-01
47,191,002A,225060.0,CORRIENTES AV.,4924.0,2020-09-01
23,18,18,411225.0,3 DE FEBRERO,993.0,2020-09-01
27,27,24,337638.0,CUBA,2921.0,2020-09-01
23,18,15,411228.0,OLLEROS,2250.0,2020-09-01
49,136,12,238794.0,ROSETI,1485.0,2020-09-01
41,136,23,329758.0,AMENABAR,3178.0,2020-09-01
7,35,23,451908.0,URUGUAY,1136.0,2020-09-01
29,45,010A,369482.0,O'HIGGINS,4176.0,2020-09-01
63,111B,26,355611.0,ISLANDIA,5447.0,2020-09-01
21,094A,019D,432491.0,DEL LIBERTADOR AV.,3620.0,2020-09-01
89,50,31,290790.0,"BEIRO, FRANCISCO AV.",5131.0,2020-09-01
7,9,003A,452722.0,"QUINTANA, MANUEL, PRES.",322.0,2020-09-02
9,28,004A,207552.0,CORRIENTES AV.,2430.0,2020-09-02
7,26,024E,453099.0,MONTEVIDEO,1954.0,2020-09-02
13,59,28,195257.0,"ANCHORENA, TOMAS MANUEL DE, DR.",480.0,2020-09-02
48,22,41,145822.0,QUIRNO,215.0,2020-09-02
79,22,0FRA,312871.0,GUALEGUAYCHU,1840.0,2020-09-02
9,46,23,206189.0,CORRIENTES AV.,2253.0,2020-09-02
71,53,11,255886.0,NAZCA AV.,3375.0,2020-09-02
3,56,001F,450162.0,SAN MARTIN,1143.0,2020-09-02
83,249,28,269253.0,MOSCONI GENERAL AV.,3262.0,2020-09-02
63,79,12,352673.0,ALTOLAGUIRRE,2831.0,2020-09-02
36,111,33,150952.0,INDEPENDENCIA AV.,3709.0,2020-09-02
49,172,12,237450.0,FRAGA,981.0,2020-09-02
7,53,001G,453062.0,ALVEAR,1427.0,2020-09-02
45,142,14,173688.0,"ACEVEDO, EDUARDO",29.0,2020-09-02
7,53,002G,453371.0,ALVEAR,1535.0,2020-09-02
7,34,028A,451850.0,"ALVEAR, MARCELO T. De",1449.0,2020-09-02
17,064C,016G,178323.0,"PELUFFO, ANGEL",3993.0,2020-09-02
11,67,003F,447400.0,ALVEAR AV.,1923.0,2020-09-02
13,59,001A,191183.0,CORRIENTES AV.,3202.0,2020-09-02
23,37,10,411794.0,VUELTA DE OBLIGADO,1247.0,2020-09-02
71,8,19,256447.0,CUENCA,3451.0,2020-09-02
8,3,8,111693.0,"MONTES DE OCA, MANUEL",560.0,2020-09-02
13,59,027B,195258.0,"ANCHORENA, TOMAS MANUEL DE, DR.",436.0,2020-09-02
20,25,006A,201555.0,BELGRANO AV.,2358.0,2020-09-02
69,23,24,254004.0,NAZCA AV.,2441.0,2020-09-02
69,22,3,296182.0,TERRADA,2316.0,2020-09-02
16,80,38,111994.0,"MONTES DE OCA, MANUEL",729.0,2020-09-02
7,53,6,451752.0,MONTEVIDEO,1859.0,2020-09-02
45,146,14,173852.0,"ARANGUREN, JUAN F., Dr.",72.0,2020-09-02
7,11,013G,452853.0,RODRIGUEZ PEÑA,1960.0,2020-09-02
81,150,5,264104.0,NOGOYA,3384.0,2020-09-02
43,48,001B,333007.0,RUIZ HUIDOBRO,3406.0,2020-09-02
40,82,18,156806.0,"MORENO, JOSE MARIA AV.",688.0,2020-09-03
11,79,27,441787.0,AYACUCHO,1365.0,2020-09-03
3,22,012A,450722.0,"PELLEGRINI, CARLOS",1171.0,2020-09-03
48,110E,27,142686.0,MEMBRILLAR,957.0,2020-09-03
36,48,4,153090.0,TARIJA,4032.0,2020-09-03
30,63,5,183632.0,SAN JUAN AV.,3036.0,2020-09-03
39,6,7,326390.0,BLANCO ENCALADA,3626.0,2020-09-03
30,72,21,183368.0,COCHABAMBA,2999.0,2020-09-03
14,75,007C,211597.0,ESTADOS UNIDOS,999.0,2020-09-03
17,99,33,170028.0,BULNES,70.0,2020-09-03
51,76,21,344018.0,JURAMENTO,4651.0,2020-09-03
8,6,25,111366.0,"MONTES DE OCA, MANUEL",232.0,2020-09-03
25,105,26,368278.0,JURAMENTO,973.0,2020-09-03
9,50,32,205785.0,JUNIN,40.0,2020-09-03
13,30,17,192098.0,HUMAHUACA,3599.0,2020-09-03
36,60,33,152635.0,REPUBLICA BOLIVARIANA DE VENEZUELA,4129.0,2020-09-03
35,107,017E,416773.0,"DUMONT, SANTOS",2455.0,2020-09-03
63,77,001A,376885.0,ANDONAEGUI,2696.0,2020-09-03
7,38,4,451513.0,PARAGUAY,1330.0,2020-09-03
36,49,13,153067.0,TREINTA Y TRES ORIENTALES,1230.0,2020-09-03
36,48,10,153096.0,TARIJA,4086.0,2020-09-03
23,118,22,415351.0,SAN BENITO DE PALERMO,1541.0,2020-09-03
23,122,010B,415911.0,OLLEROS AV.,1680.0,2020-09-03
19,147,006Q,431811.0,CHARCAS,3591.0,2020-09-03
27,37,10,337384.0,ARCOS,2849.0,2020-09-03
19,142,16,428398.0,URIARTE,2231.0,2020-09-03
36,127,9,150405.0,SAN IGNACIO,3666.0,2020-09-03
36,48,15,153101.0,TREINTA Y TRES ORIENTALES,1344.0,2020-09-03
13,30,5,192110.0,GUARDIA VIEJA,3550.0,2020-09-03
59,152,18,232352.0,GAONA AV.,1761.0,2020-09-03
9,2,8,207550.0,PUEYRREDON AV.,161.0,2020-09-03
9,52,008A,207788.0,SARMIENTO,2172.0,2020-09-03
11,84,3,441932.0,ALVEAR AV.,1860.0,2020-09-03
49,82,14,240169.0,HOLMBERG,1625.0,2020-09-03
13,101,2,190126.0,VIAMONTE,2740.0,2020-09-03
25,18,20,335763.0,ARCOS,2112.0,2020-09-03
59,58,42,242575.0,"TRELLES, MANUEL R. AV.",2414.0,2020-09-03
5,6,010A,223157.0,TUCUMAN,1788.0,2020-09-03
9,12,009C,207595.0,CASTELLI,167.0,2020-09-03
11,2,009A,441115.0,"MANSILLA, LUCIO NORBERTO, GENERAL",2476.0,2020-09-03
59,58,41,242524.0,"TRELLES, MANUEL R. AV.",2404.0,2020-09-03
52,91,24,77138.0,CONDOR,2627.0,2020-09-03
19,142,23,431999.0,PARAGUAY,4653.0,2020-09-03
9,71,10,205418.0,TUCUMAN,1984.0,2020-09-03
36,33,001G,153616.0,TREINTA Y TRES ORIENTALES,1345.0,2020-09-03
7,21,24,452917.0,MONTEVIDEO,1484.0,2020-09-03
51,131,011F,365527.0,JURAMENTO,3895.0,2020-09-03
25,6,003A,376876.0,BLANCO ENCALADA,2396.0,2020-09-03
8,36,21,110978.0,CASEROS AV.,731.0,2020-09-03
89,20,032A,290730.0,NUEVA YORK,5077.0,2020-09-03
11,4,32,441196.0,LARREA,1022.0,2020-09-03
44,014C,015B,91851.0,VARELA AV.,1172.0,2020-09-03
9,18,29,206983.0,LARREA,246.0,2020-09-03
36,66,28,152453.0,PAVON AV.,3961.0,2020-09-03
93,007B,18,295225.0,AGUARIBAY,6885.0,2020-09-03
48,113G,7,142514.0,ROBERTSON,648.0,2020-09-03
36,027B,26,153809.0,SPEGAZZINI CARLOS,443.0,2020-09-03
73,13,13,361073.0,"MISTRAL, GABRIELA",3082.0,2020-09-04
11,84,23,441935.0,CALLAO AV.,1880.0,2020-09-04
11,18,004A,447438.0,JUNCAL,2246.0,2020-09-04
20,62,21,200423.0,BELGRANO AV.,1996.0,2020-09-04
36,89,34,151815.0,CASTRO BARROS,1349.0,2020-09-04
45,35,030A,176727.0,COLPAYO,620.0,2020-09-04
3,4,013A,451138.0,LIBERTAD,1159.0,2020-09-04
36,86,25,38026.0,PEREYRA,1551.0,2020-09-04
15,125,022A,447494.0,"JAURES, JEAN",1133.0,2020-09-04
9,10,27,207539.0,PASO,780.0,2020-09-04
7,10,010F,452756.0,RODRIGUEZ PEÑA,1876.0,2020-09-04
73,47,031A,361685.0,MOSCONI GENERAL AV.,2611.0,2020-09-04
42,93,007C,149210.0,RIVADAVIA AV.,5672.0,2020-09-04
28,28,44,194265.0,24 DE NOVIEMBRE,573.0,2020-09-04
51,19,9,351290.0,OLAZABAL AV.,5484.0,2020-09-04
47,136,1,313977.0,SERRANO,287.0,2020-09-04
9,62,10,205624.0,LAVALLE,2072.0,2020-09-04
57,016A,9,148281.0,"ALVAREZ, DONATO, Tte. Gral.",88.0,2020-09-04
11,8,35,442742.0,LARREA,1324.0,2020-09-04
42,63,014A,458214.0,DIRECTORIO AV.,1361.0,2020-09-04
5,7,1,223200.0,RODRIGUEZ PEÑA,692.0,2020-09-04
11,32,43,440746.0,"URIBURU JOSE E., Pres.",1076.0,2020-09-04
49,121,26,239216.0,ALVAREZ THOMAS AV.,1538.0,2020-09-04
40,133A,17,155180.0,ROSARIO,127.0,2020-09-04
17,101,17,170071.0,"SALGUERO, JERONIMO",233.0,2020-09-04
79,52,006A,313565.0,"ESCALADA DE SAN MARTIN, R.",3852.0,2020-09-04
18,128,017d,114116.0,MONTES DE OCA AV.,2247.0,2020-09-04
27,1,012A,377045.0,CABILDO AV.,2553.0,2020-09-04
37,139,10,409877.0,PALPA,2528.0,2020-09-04
37,122,3,410480.0,"PINO, Virrey del",2730.0,2020-09-04
53,33,33,347103.0,VALDENEGRO,3052.0,2020-09-04
75,51,14,365251.0,TERRADA,5781.0,2020-09-04
36,042A,14,160516.0,"DEVOTO, FORTUNATO",490.0,2020-09-04
39,71,003B,326247.0,OLAZABAL,2880.0,2020-09-04
52,92,14,55073.0,CULPINA,3248.0,2020-09-04
22,50,9,180589.0,HUMBERTO 1°,2072.0,2020-09-04
9,62,042A,207889.0,AYACUCHO,460.0,2020-09-04
49,181,27,237381.0,FOREST AV.,426.0,2020-09-04
37,107,016D,414785.0,CONESA,787.0,2020-09-04
49,138,8,238837.0,ALVAREZ THOMAS AV.,1462.0,2020-09-04
20,18,012A,201806.0,"YRIGOYEN, HIPOLITO",2592.0,2020-09-04
27,80,20,336954.0,ARRIBEÑOS,2607.0,2020-09-04
5,3,17,223049.0,CALLAO AV.,215.0,2020-09-04
51,134,6,368188.0,MONROE,3894.0,2020-09-04
51,027A,2,351777.0,LITUANIA,5422.0,2020-09-04
9,40,27,206560.0,TUCUMAN,2315.0,2020-09-04
20,67,28,200240.0,INDEPENDENCIA AV.,1839.0,2020-09-04
79,105,2,259802.0,"DIAZ, CESAR, GRAL.",3528.0,2020-09-04
7,19,22,452308.0,RODRIGUEZ PEÑA,1251.0,2020-09-04
12,45,28,217116.0,BELGRANO AV.,1225.0,2020-09-05
33,29,8,402023.0,FRAGA,568.0,2020-09-05
67,15,33,250996.0,ARGERICH,1260.0,2020-09-05
11,49,15,442292.0,PEÑA,2181.0,2020-09-05
23,55,001B,416080.0,"HERNANDEZ, JOSE",2120.0,2020-09-05
16,28,34,113125.0,"CEVALLOS, Virrey",1975.0,2020-09-05
21,5,23,429568.0,"SCALABRINI ORTIZ, RAUL",2550.0,2020-09-05
35,110A,21,406175.0,MAURE,2477.0,2020-09-05
3,49,19,450177.0,PARAGUAY,521.0,2020-09-05
4,30,33,210466.0,DEFENSA,855.0,2020-09-05
7,27,39,452016.0,PARANA,850.0,2020-09-05
37,12,15,406818.0,CHARLONE,901.0,2020-09-05
34,71,28,109545.0,TRAFUL,3449.0,2020-09-05
42,41,19,139577.0,CURAPALIGUE,164.0,2020-09-05
85,77,017C,312276.0,CARRASCO AV.,845.0,2020-09-05
23,129,25,413660.0,"HERNANDEZ, JOSE",1445.0,2020-09-05
36,44,18,153208.0,"MARMOL, JOSE",252.0,2020-09-05
20,47,28,200973.0,RINCON,353.0,2020-09-05
35,105,1,405135.0,CABILDO AV.,4.0,2020-09-05
59,73,3,234533.0,"GARCIA, JUAN AGUSTIN",1693.0,2020-09-05
15,107,19,445308.0,AGUERO,1843.0,2020-09-05
37,52,5,407936.0,CONDE,1094.0,2020-09-05
35,001A,006B,414506.0,DARWIN,1550.0,2020-09-05
27,82,021B,337544.0,CONGRESO,1691.0,2020-09-05
41,33,1,330836.0,"LARRALDE, CRISOLOGO AV.",3614.0,2020-09-05
36,9,3,161268.0,INDEPENDENCIA AV.,4336.0,2020-09-05
40,143,5,154844.0,SENILLOSA,430.0,2020-09-05
27,29,009I,370556.0,CUBA,3175.0,2020-09-05
51,121,021C,377711.0,ESTOMBA,1830.0,2020-09-05
7,48,44,451418.0,LIBERTAD,1252.0,2020-09-05
37,8,24,406808.0,CHARLONE,930.0,2020-09-05
41,25,006A,371269.0,MELIAN AV.,2843.0,2020-09-05
1,28,9,220505.0,CORRIENTES AV.,574.0,2020-09-05
48,155,010B,140625.0,CARABOBO AV.,79.0,2020-09-05
36,33,001B,153611.0,TREINTA Y TRES ORIENTALES,1387.0,2020-09-05
31,52,8,421610.0,CASTILLO,464.0,2020-09-05
28,48,005A,193585.0,"YRIGOYEN, HIPOLITO",3058.0,2020-09-05
48,82,039A,148366.0,VARELA,141.0,2020-09-05
63,109,039B,370111.0,TRIUNVIRATO AV.,5660.0,2020-09-05
7,33,21,451820.0,PARANA,931.0,2020-09-05
5,15,17,222945.0,"DELLEPIANE, LUIS",670.0,2020-09-05
59,130,1,233375.0,"JUSTO, JUAN B. AV.",4102.0,2020-09-05
36,48,011B,160501.0,TREINTA Y TRES ORIENTALES,1306.0,2020-09-05
69,14,7,254829.0,NOGOYA,3048.0,2020-09-05
51,59,012F,373329.0,BLANCO ENCALADA,4967.0,2020-09-05
23,132,000N,416953.0,LA PAMPA,1230.0,2020-09-05
36,042B,21,160398.0,"DEVOTO, FORTUNATO",481.0,2020-09-06
39,85,1,326296.0,AMENABAR,2298.0,2020-09-06
12,40,9,217280.0,SAN JOSE,20.0,2020-09-06
23,120,7,413054.0,DEL LIBERTADOR AV.,4800.0,2020-09-06
11,18,2,441050.0,JUNCAL,2222.0,2020-09-06
36,75,031A,161950.0,INDEPENDENCIA AV.,3927.0,2020-09-06
3,26,007A,453172.0,ESMERALDA,868.0,2020-09-06
7,39,027A,451529.0,PARAGUAY,1359.0,2020-09-06
25,70,007A,377919.0,DEL LIBERTADOR AV.,6049.0,2020-09-06
19,172,007A,431897.0,"BORGES, JORGE LUIS",2454.0,2020-09-06
41,91,29,329227.0,CONESA,3002.0,2020-09-06
24,52,17,100934.0,CASEROS AV.,2657.0,2020-09-06
63,123,011B,369641.0,TRIUNVIRATO AV.,5889.0,2020-09-06
81,65,019B,296449.0,"VARELA, JOSE PEDRO",3901.0,2020-09-06
37,144,18,410295.0,CIUDAD DE LA PAZ,1376.0,2020-09-06
11,24,018D,447198.0,LAS HERAS GENERAL AV.,2255.0,2020-09-06
17,064A,10,170812.0,LEZICA,3964.0,2020-09-06
11,54,009A,447262.0,JUNIN,1081.0,2020-09-06
67,98,029A,237031.0,TRES ARROYOS,2311.0,2020-09-06
31,29,009B,432415.0,ACEVEDO,617.0,2020-09-06
23,91,020B,416870.0,ORTEGA Y GASSET,1739.0,2020-09-06
1,29,22,220522.0,CORRIENTES AV.,561.0,2020-09-06
51,011A,031B,350673.0,JURAMENTO,5732.0,2020-09-06
89,043C,005C,310936.0,"IBARROLA, RODRIGO de",3140.0,2020-09-06
19,175,6,432656.0,SANTA FE AV.,4464.0,2020-09-06
39,67,3,325135.0,CRAMER AV.,1859.0,2020-09-06
36,65,2,38351.0,PAVON AV.,3916.0,2020-09-06
3,23,013A,453260.0,ARENALES,999.0,2020-09-06
61,81,25,244553.0,ARISMENDI,2539.0,2020-09-06
23,20,23,411313.0,OLLEROS,2373.0,2020-09-06
11,83,012A,441900.0,GUIDO,1849.0,2020-09-06
89,65,32,281239.0,"JUAREZ, BENITO",4068.0,2020-09-06
57,103,001A,147144.0,NEUQUEN,1008.0,2020-09-06
59,116,010D,312232.0,"JUSTO, JUAN B. AV.",4281.0,2020-09-06
49,111,10,239668.0,TRONADOR,1761.0,2020-09-06
89,92,017M,281071.0,"BEIRO, FRANCISCO AV.",4631.0,2020-09-06
61,57,002A,304771.0,"VICTORICA, BENJAMIN, GENERAL, AV.",3016.0,2020-09-07
36,33,001I,153618.0,TREINTA Y TRES ORIENTALES,1325.0,2020-09-07
24,26,2,102500.0,CASEROS AV.,2862.0,2020-09-07
48,86,30,143891.0,VARELA AV.,821.0,2020-09-07
47,168,8,225256.0,LAVALLEJA,141.0,2020-09-07
2,1,5,216269.0,CHILE,862.0,2020-09-07
79,63,35,260990.0,"GONZALEZ, JOAQUIN V.",1070.0,2020-09-07
1,018B,010C,220619.0,"SAENZ PEÑA, ROQUE, PRES. AV.",637.0,2020-09-07
52,57,028A,84569.0,CASTAÑON,3455.0,2020-09-07
37,110,21,408100.0,CONESA,1089.0,2020-09-07
48,20,29,145890.0,QUIRNO,463.0,2020-09-07
36,38,55,153410.0,TREINTA Y TRES ORIENTALES,829.0,2020-09-07
36,60,4,152607.0,QUITO,4028.0,2020-09-07
47,128,38,227817.0,BRAVARD,1176.0,2020-09-07
23,11,5,411053.0,11 DE SEPTIEMBRE DE 1888,784.0,2020-09-07
69,24,035A,254041.0,NAZCA AV.,2535.0,2020-09-07
42,74,008C,138504.0,PUAN,336.0,2020-09-07
36,45,28,153184.0,TREINTA Y TRES ORIENTALES,181.0,2020-09-07
